Unternehmen;Branche;2020;2019;2018;2017;2016;2015;2014;2013;2012;Im Mdax seit
Deutsche Wohnen SE;Immobilienwirtschaft;https://ir.deutsche-wohnen.com/download/companies/dewohnen/Annual%20Reports/DW_Geschaeftsbericht_2020_DE.pdf;https://ir.deutsche-wohnen.com/download/companies/dewohnen/Annual%20Reports/DE000A0HN5C6-JA-2019-EQ-D-02.pdf;https://ir.deutsche-wohnen.com/download/companies/dewohnen/Annual%20Reports/DE000A0HN5C6-JA-2018-EQ-D-03.pdf;https://ir.deutsche-wohnen.com/download/companies/dewohnen/Annual%20Reports/Deutsche_Wohnen_SE_Geschaeftsbericht_2017.pdf;https://ir.deutsche-wohnen.com/download/companies/dewohnen/Annual%20Reports/DE000A0HN5C6-JA-2016-EQ-D-02.pdf;https://ir.deutsche-wohnen.com/download/companies/dewohnen/Annual%20Reports/DE000A0HN5C6-JA-2015-EQ-D-00.pdf;https://ir.deutsche-wohnen.com/download/companies/dewohnen/Annual%20Reports/20150414_DW_Geschaeftsbericht_2014_deutsch.pdf;https://ir.deutsche-wohnen.com/download/companies/dewohnen/Annual%20Reports/140414_DW_D_Finanzbericht2013_save.pdf;https://ir.deutsche-wohnen.com/download/companies/dewohnen/Annual%20Reports/130328_DeuWo_DE_GB2012_FinBericht_EiSei_sicher.pdf;nicht im MDAX
DMG Mori AG;Maschinenbau;https://de.dmgmori-ag.com/resource/blob/543308/4deb720c0db40a9fec76cecd10e24dac/dmgmorij20d-data.pdf;https://de.dmgmori-ag.com/resource/blob/406104/c63fbe3ba97bf186a4dfa4ea2225b27b/dmgmorij19d-data.pdf;https://de.dmgmori-ag.com/resource/blob/354664/5eed9528e4f5a506fa1924df9d8a8439/dmgmorij18d-data.pdf;https://de.dmgmori-ag.com/resource/blob/310306/f7437ac676128c16fee4c7cd5e30adfc/dmgmorij17d-data.pdf;https://de.dmgmori-ag.com/resource/blob/308990/511edae145289512ba260c6d003f5664/dmgmorij16d-data.pdf;https://de.dmgmori-ag.com/resource/blob/309030/ff8d8a1074b6f8fa73deaea8759c3736/dmgmorij15d-data.pdf;https://de.dmgmori-ag.com/resource/blob/309054/f4fc2a9f9ebeaef8e35e8819e9d8420e/dmgmoriseikij14d-data.pdf;https://de.dmgmori-ag.com/resource/blob/309080/7bc7553b01109767a544e7658da1a930/dmgmoriseikij13d-data.pdf;https://de.dmgmori-ag.com/resource/blob/309106/3aedcda1d41284c11408fd5bf63cfb99/gilj12d-data.pdf;nicht im MDAX
D�rr AG;Automobilzulieferer;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/556520.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/556520.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/556520.pdf;https://www.durr-group.com/fileadmin/durr-group.com/Investors/Downloads/Reports/2017/AnnualReport-2017_DE.pdf;https://www.durr-group.com/fileadmin/durr-group.com/Investors/Downloads/Reports/2016/AnnualReport-2016_DE.pdf;https://www.durr-group.com/fileadmin/durr-group.com/Investors/Downloads/Reports/2015/AnnualReport-2015_DE.pdf;https://www.durr-group.com/fileadmin/durr-group.com/Investors/Downloads/Reports/2014/AnnualReport-2014_DE.pdf;https://www.durr-group.com/fileadmin/durr-group.com/Investors/Downloads/Reports/2013/AnnualReport-2013_DE.pdf;https://www.durr-group.com/fileadmin/durr-group.com/Investors/Downloads/Reports/2012/AnnualReport-2012_DE.pdf;19. Mrz 12
Encavis AG;Erneuerbare Energien;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/609500.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/609500.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/609500.pdf;https://www.encavis.com/fileadmin/user_upload/Dokumente/Finanzberichte/Encavis_AG/2017/Encavis-Geschaeftsbericht-2017-deu.pdf;https://www.encavis.com/fileadmin/user_upload/Dokumente/Finanzberichte/Capital_Stage_AG/2016/CS_GB_2016.pdf;https://www.encavis.com/fileadmin/user_upload/Dokumente/Finanzberichte/Capital_Stage_AG/2015/CS_GB_DE.pdf;https://www.encavis.com/fileadmin/user_upload/Dokumente/Finanzberichte/Capital_Stage_AG/2014/CS_GB_2014.pdf;https://www.encavis.com/fileadmin/user_upload/Dokumente/Finanzberichte/Capital_Stage_AG/2013/CS_GB_2013.pdf;https://www.encavis.com/fileadmin/user_upload/Dokumente/Finanzberichte/Capital_Stage_AG/2012/CapitalStage_GB_DE_web_safe.pdf;22. Mrz 21
Evonik Industries AG;Spezial-Chemieprodukte;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/EVNK01.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/EVNK01.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/EVNK01.pdf;https://corporate.evonik.com/Downloads/Corporate/BPK/Evonik_FB2017_D.pdf;https://corporate.evonik.com/downloads/corporate/evonik%20gb2016%20d-170427.pdf;https://corporate.evonik.com/downloads/corporate/evonik%20gesch%c3%a4ftsbericht%202015.pdf;https://corporate.evonik.com/downloads/corporate/evonik-geschaeftsbericht-2014.pdf;https://corporate.evonik.com/downloads/corporate/evonik-geschaeftsbericht-2013.pdf;https://corporate.evonik.com/downloads/corporate/evonik-geschaeftsbericht-2012-de.pdf;23. Sep 13
Evotec SE;Biotechnologie;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/566480.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/566480.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/566480.pdf;https://www.evotec.com/f/ca30024718c1521630fcfd2ca259dced.pdf;https://www.evotec.com/f/95d29cf67f8a49b5e0006421e8180f17.pdf;https://www.evotec.com/f/7e0b80cbcf9bd9a73dfdcfbf08ae990e.pdf;https://www.evotec.com/f/084ae5e84bf1e4f09b0e39b7661d7454.pdf;https://www.evotec.com/f/5192e7b692f61ad9706c407d90170e33.pdf;https://www.evotec.com/f/6d9161785373a9ddd127ebf8dd662676.pdf;24. Sep 18
Fielmann;Einzelhandel, Optiker, H�rger�te;https://corporate.fielmann.com/fileadmin/Redaktion/pdf/ir/fielmann_bericht_2020_PC7JqS4Y.pdf;https://corporate.fielmann.com/fileadmin/Redaktion/pdf/ir/fielmann_bericht_2019_S_gf76mqWz.pdf;https://corporate.fielmann.com/fileadmin/Redaktion/pdf/ir/fielmann_bericht_2018_RK7LNLR7Zg.pdf;https://corporate.fielmann.com/fileadmin/Redaktion/pdf/ir/fielmann_bericht_2017_Bkz69WwtaFzY9F.pdf;https://corporate.fielmann.com/fileadmin/Redaktion/corporate/fielmann_bericht_2016_knexYmKZ.pdf;https://corporate.fielmann.com/fileadmin/Redaktion/pdf/ir/fielmann_bericht_2015_vg8xa9HL.pdf;https://corporate.fielmann.com/fileadmin/Redaktion/pdf/ir/fielmann_bericht_2014.pdf;https://corporate.fielmann.com/fileadmin/Redaktion/pdf/ir/fielmann_bericht_2013.pdf;https://corporate.fielmann.com/fileadmin/Redaktion/pdf/ir/fielmann_bericht_2012.pdf;nicht im MDAX
Fraport AG;Flughafenbetreiber;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/577330.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/577330.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/577330.pdf;https://www.fraport.com/content/dam/fraport-company/documents/investoren/termine-und-publikationen/geschaeftsberichte/gb_2017_de_web.pdf/_jcr_content/renditions/original.media_file.download_attachment.file/gb_2017_de_web.pdf;https://www.fraport.com/content/dam/fraport-company/documents/investoren/termine-und-publikationen/geschaeftsberichte/fraport-geschaeftsbericht-2016_safe.pdf/_jcr_content/renditions/original.media_file.download_attachment.file/fraport-geschaeftsbericht-2016_safe.pdf;https://www.fraport.com/content/dam/fraport-company/documents/investoren/termine-und-publikationen/geschaeftsberichte/geschaeftsbericht-2015.pdf/_jcr_content/renditions/original.media_file.download_attachment.file/geschaeftsbericht-2015.pdf;https://www.fraport.com/content/dam/fraport-company/documents/investoren/termine-und-publikationen/geschaeftsberichte/fraport-gb-2014.pdf/_jcr_content/renditions/original.media_file.download_attachment.file/fraport-gb-2014.pdf;https://www.fraport.com/content/dam/fraport-company/documents/investoren/termine-und-publikationen/geschaeftsberichte/fraport_2013_geschaeftsbericht.pdf/_jcr_content/renditions/original.media_file.download_attachment.file/fraport_2013_geschaeftsbericht.pdf;https://www.fraport.com/content/dam/fraport-company/documents/investoren/termine-und-publikationen/geschaeftsberichte/fraport-geschaeftsbericht-2012.pdf/_jcr_content/renditions/original.media_file.download_attachment.file/fraport-geschaeftsbericht-2012.pdf;24. Sep 01
Freenet AG;Telekommunikation;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/A0Z2ZZ.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/A0Z2ZZ.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/A0Z2ZZ.pdf;https://blob.freent.de/contentblob/6535310/2/data/20180322-geschaeftsbericht-2017-der-freenet-ag.pdf;https://blob.freent.de/contentblob/6021240/6/data/20170323-geschaeftsbericht-2016-der-freenet-ag.pdf;https://blob.freent.de/contentblob/5317420/1/data/2015-gb-2015.pdf;https://blob.freent.de/contentblob/4819696/4/data/20150326-geschaeftsbericht-2014-der-freenet-ag.pdf;https://blob.freent.de/contentblob/4499050/1/data/geschaeftsbericht-2013-der-freenet-ag.pdf;https://blob.freent.de/contentblob/4498962/1/data/geschaeftsbericht-2012.pdf;24. Sep 18
Fuchs Petrolub SE;Chemie;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/579043.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/579043.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/579043.pdf;https://www.fuchs.com/gruppe/unternehmen/das-unternehmen/download-center/download/file/72669-geschaeftsbericht-2017/;https://www.fuchs.com/gruppe/unternehmen/das-unternehmen/download-center/download/file/65161-geschaeftsbericht-2016/;https://www.fuchs.com/gruppe/unternehmen/das-unternehmen/download-center/download/file/65165-geschaeftsbericht-2015/;https://www.fuchs.com/gruppe/unternehmen/das-unternehmen/download-center/download/file/65169-geschaeftsbericht-2014/;https://www.fuchs.com/gruppe/unternehmen/das-unternehmen/download-center/download/file/65173-geschaeftsbericht-2013/;https://www.fuchs.com/gruppe/unternehmen/das-unternehmen/download-center/download/file/65177-geschaeftsbericht-2012/;23. Jun 08
